Queries,Number of Overlapping Results,Percentage Overlap,Spearman Coefficient
Query 1,1,10.0,0
Query 2,1,10.0,1
Query 3,2,20.0,-39.0
Query 4,2,20.0,-16.0
Query 5,0,0.0,0
Query 6,4,40.0,-3.2
Query 7,3,30.0,-0.25
Query 8,3,30.0,-1.5
Query 9,0,0.0,0
Query 10,2,20.0,-49.0
Query 11,4,40.0,-0.7
Query 12,3,30.0,-6.5
Query 13,6,60.0,0.02857142857142858
Query 14,3,30.0,-0.5
Query 15,0,0.0,0
Query 16,0,0.0,0
Query 17,2,20.0,-49.0
Query 18,0,0.0,0
Query 19,2,20.0,-19.0
Query 20,1,10.0,0
Query 21,2,20.0,-1.0
Query 22,0,0.0,0
Query 23,0,0.0,0
Query 24,2,20.0,-12.0
Query 25,3,30.0,-1.0
Query 26,7,70.0,-0.8392857142857142
Query 27,1,10.0,0
Query 28,3,30.0,-0.5
Query 29,1,10.0,0
Query 30,0,0.0,0
Query 31,2,20.0,0.0
Query 32,1,10.0,0
Query 33,1,10.0,0
Query 34,2,20.0,0.0
Query 35,0,0.0,0
Query 36,0,0.0,0
Query 37,2,20.0,-16.0
Query 38,3,30.0,-19.5
Query 39,2,20.0,-4.0
Query 40,0,0.0,0
Query 41,3,30.0,-12.5
Query 42,1,10.0,0
Query 43,4,40.0,-4.2
Query 44,1,10.0,0
Query 45,0,0.0,0
Query 46,2,20.0,-1.0
Query 47,0,0.0,0
Query 48,0,0.0,0
Query 49,3,30.0,-2.25
Query 50,1,10.0,1
Query 51,3,30.0,-5.5
Query 52,2,20.0,-12.0
Query 53,0,0.0,0
Query 54,1,10.0,0
Query 55,0,0.0,0
Query 56,2,20.0,-25.0
Query 57,2,20.0,-44.0
Query 58,0,0.0,0
Query 59,0,0.0,0
Query 60,2,20.0,-3.0
Query 61,3,30.0,-18.0
Query 62,4,40.0,-1.9
Query 63,4,40.0,0.9
Query 64,2,20.0,-1.0
Query 65,2,20.0,0.0
Query 66,2,20.0,-4.0
Query 67,1,10.0,1
Query 68,2,20.0,-19.0
Query 69,0,0.0,0
Query 70,0,0.0,0
Query 71,0,0.0,0
Query 72,2,20.0,-9.0
Query 73,2,20.0,-33.0
Query 74,0,0.0,0
Query 75,1,10.0,0
Query 76,3,30.0,-3.5
Query 77,1,10.0,1
Query 78,2,20.0,-4.0
Query 79,2,20.0,-33.0
Query 80,2,20.0,-9.0
Query 81,3,30.0,0.25
Query 82,2,20.0,-28.0
Query 83,1,10.0,0
Query 84,1,10.0,1
Query 85,2,20.0,-12.0
Query 86,0,0.0,0
Query 87,2,20.0,-3.0
Query 88,1,10.0,1
Query 89,3,30.0,0.5
Query 90,0,0.0,0
Query 91,4,40.0,-7.1
Query 92,0,0.0,0
Query 93,2,20.0,0.0
Query 94,3,30.0,-0.25
Query 95,0,0.0,0
Query 96,1,10.0,0
Query 97,2,20.0,-1.0
Query 98,2,20.0,-1.0
Query 99,0,0.0,0
Query 100,1,10.0,0
